"Activity","Position","X","Y","Z","curtime","curdate"
"Classification Data","Pocket","7.8699813","-8.061523","-0.34477556","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","7.762239","-8.693612","-0.69673395","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.58665","-7.8556156","-1.4174107","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","5.3464155","-7.910684","1.5754328","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.8093176","-8.38475","1.5658557","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","8.739103","-7.85801","0.84996754","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.352011","-9.454991","-1.9489397","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.280183","-9.675264","-1.664021","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.9505796","-9.519637","-0.25379312","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.63693","-9.093455","-0.102953814","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.193989","-7.905895","-5.2434616","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","11.770255","-5.1021996","-3.057489","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","14.18129","-3.6560576","1.9154198","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","12.964998","-4.6664414","2.928198","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","12.016866","-4.860378","2.7845416","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","9.63935","-4.8340406","2.360755","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","8.889942","-4.5946136","3.8475995","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","8.08786","-4.4892654","5.0806513","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","7.187613","-3.5339496","4.9585433","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.0670924","-2.588211","5.1045938","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","4.9274178","-3.0431232","4.925023","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","3.9960446","-2.4996228","8.851634","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","3.265791","-1.5467016","9.454991","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","4.886715","-0.99362403","7.4270406","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","5.851608","-0.5698374","7.455772","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","4.4749","-0.3902668","8.286585","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","4.2642035","-0.23942748","7.8723755","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","4.328849","0.7541966","6.2921543","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","3.929005","1.4557191","7.501263","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","5.032766","0.9026416","11.016058","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","4.3264546","1.2785428","9.179649","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","2.7749646","1.2953026","6.58665","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","1.2474172","1.9824595","10.094262","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.4413534","1.8747171","12.694445","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.8252442","1.89866","10.415095","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","4.189981","2.7342618","9.203592","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.8970726","2.9641123","8.624178","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.46927786","2.7246847","9.25866","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.0223553","2.0351336","9.205987","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.7151077","2.6432793","7.8340673","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.7558103","3.1029801","8.897125","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.1971374","2.8707354","10.072714","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.44772938","2.8635526","9.378374","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.79250497","2.762993","7.692805","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.8914771","2.901861","8.686429","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.776552","3.1245286","8.499676","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.7446195","3.1317115","8.334471","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.9792584","2.7342618","8.1549","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.2522057","2.5738454","8.73192","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.1468576","2.3918805","9.632168","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.063058","2.4900458","9.91948","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.2905141","2.813273","7.755056","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.073442","3.380716","7.616188","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.7813405","3.3208592","7.2426815","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.0678465","3.3256476","7.039168","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.1468576","3.3855045","8.913885","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.6863763","3.972102","9.6896305","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.700742","3.7925313","10.376787","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.87151605","3.3064935","10.403124","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","-0.17717634","3.189174","9.007262","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.5347302","3.694366","8.001666","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","2.5858169","3.8523881","8.956982","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.6759924","3.869148","10.079897","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.8284191","3.512401","10.453403","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.29210153","3.6919718","9.07909","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.91700727","4.0559015","7.14691","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.7885233","4.5419393","8.126168","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.9202085","4.2833576","8.988108","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.228263","3.955342","9.478934","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.5243462","3.7733772","9.431048","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.14844504","3.7422516","8.968953","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.32562137","3.9792848","8.157294","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.723071","4.122941","8.894731","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.6943397","4.0918155","9.009656","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.818842","4.209135","8.988108","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.67279124","4.3001175","8.578687","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.15323359","4.3192716","8.348836","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.2944958","4.285752","8.430242","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.5921928","4.5491223","9.11261","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","1.3096683","4.529968","8.344048","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.047885496","4.1804037","8.76544","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","-0.1699935","4.1181526","10.089474","1614254943","25-02-2021 12:09:03"
"Classification Data","Pocket","0.38547826","4.3863115","9.474146","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.1420691","4.7622128","8.109408","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.3671309","4.6640472","7.8963184","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.37590113","4.304906","8.971348","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","-0.13886794","4.228289","8.973742","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.7637737","4.5539107","8.839663","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.0965779","4.8316464","8.164477","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.70631105","4.8340406","8.186026","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.531529","4.582642","9.081485","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.54350036","4.453351","9.356826","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.75659084","4.618556","8.887548","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.045491222","4.6137676","8.427847","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.44054657","4.6927786","8.571504","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.4221992","4.9106574","8.48531","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.5754328","5.0495257","7.9561753","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.0223553","4.7885494","7.9346266","1614254944","25-02-2021 12:09:04"
